ObjectID,Date,Sample_ID,Parameter,Results,Units,CAS,HRV,Units1,HRV_Types,Name,Description,Address,City_1,State,Zip,x,y
1,Nov13,0005Nov13,"1,2,4-Trimethylbenzene",1.4,ug/m3,95-63-6,125000,ug/m3,REL,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406,-10379332.497,5614533.8416
2,Nov13,0005Nov13,2-Propanol,87.6,ug/m3,67-63-0,980000,ug/m3,REL,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406,-10379332.497,5614533.8416
3,Nov13,0005Nov13,Acetone,8.4,ug/m3,67-64-1,590000,ug/m3,REL,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406,-10379332.497,5614533.8416
4,Nov13,0005Nov13,Benzene,0.87,ug/m3,71-43-2,1.3,ug/m3,HRV,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406,-10379332.497,5614533.8416
5,Nov13,0005Nov13,Chloromethane,0.63,ug/m3,74-87-3,206544,ug/m3,PEL,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406,-10379332.497,5614533.8416
6,Nov13,0005Nov13,Cyclohexane,1.1,ug/m3,110-82-7,1050000,ug/m3,REL,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406,-10379332.497,5614533.8416
7,Nov13,0005Nov13,Dichlorodifluoromethane,1.9,ug/m3,75-71-8,4950000,ug/m3,REL,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406,-10379332.497,5614533.8416
8,Nov13,0005Nov13,Ethanol,8.8,ug/m3,64-17-5,1900000,ug/m3,REL,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406,-10379332.497,5614533.8416
9,Nov13,0005Nov13,Ethyl acetate,206,ug/m3,141-78-6,1400000,ug/m3,REL,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406,-10379332.497,5614533.8416
10,Nov13,0005Nov13,Methylene Chloride,1.4,ug/m3,75-09-2,20,ug/m3,HRV,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406,-10379332.497,5614533.8416
11,Nov13,0005Nov13,Toluene,5,ug/m3,108-88-3,400,ug/m3,HRV,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406,-10379332.497,5614533.8416
12,Nov13,0076Nov13,2-Butanone (MEK),4.8,ug/m3,78-93-3,10000,ug/m3,HRV,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414,-10376307.3436,5619085.4096
13,Nov13,0076Nov13,2-Propanol,4.3,ug/m3,67-63-0,980000,ug/m3,REL,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414,-10376307.3436,5619085.4096
14,Nov13,0076Nov13,Acetone,9.8,ug/m3,67-64-1,590000,ug/m3,REL,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414,-10376307.3436,5619085.4096
15,Nov13,0076Nov13,Chloromethane,0.97,ug/m3,74-87-3,206544,ug/m3,PEL,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414,-10376307.3436,5619085.4096
16,Nov13,0076Nov13,Dichlorodifluoromethane,2.8,ug/m3,75-71-8,4950000,ug/m3,REL,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414,-10376307.3436,5619085.4096
17,Nov13,0076Nov13,Ethanol,20.3,ug/m3,64-17-5,1900000,ug/m3,REL,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414,-10376307.3436,5619085.4096
18,Nov13,0076Nov13,Ethyl acetate,9.9,ug/m3,141-78-6,1400000,ug/m3,REL,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414,-10376307.3436,5619085.4096
19,Nov13,0076Nov13,Methylene Chloride,1.3,ug/m3,75-09-2,20,ug/m3,HRV,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414,-10376307.3436,5619085.4096
20,Nov13,0076Nov13,n-Heptane,1.3,ug/m3,142-82-5,350000,ug/m3,REL,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414,-10376307.3436,5619085.4096
21,Nov13,0076Nov13,n-Hexane,1.2,ug/m3,110-54-3,2000,ug/m3,HRV,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414,-10376307.3436,5619085.4096
22,Nov13,0076Nov13,Toluene,11.1,ug/m3,108-88-3,400,ug/m3,HRV,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414,-10376307.3436,5619085.4096
23,Nov13,0076Nov13,Trichloroethene,9,ug/m3,79-01-6,3,ug/m3,HRV,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414,-10376307.3436,5619085.4096
24,Nov13,0084Nov13,2-Butanone (MEK),1.5,ug/m3,78-93-3,10000,ug/m3,HRV,,volunteer,1718 Sheridan Ave N,Minneapolis,MN,55411,-10387445.6646,5621142.0194
25,Nov13,0084Nov13,Benzene,1.4,ug/m3,71-43-2,1.3,ug/m3,HRV,,volunteer,1718 Sheridan Ave N,Minneapolis,MN,55411,-10387445.6646,5621142.0194
26,Nov13,0084Nov13,Cyclohexane,5.6,ug/m3,110-82-7,1050000,ug/m3,REL,,volunteer,1718 Sheridan Ave N,Minneapolis,MN,55411,-10387445.6646,5621142.0194
27,Nov13,0084Nov13,Ethanol,5.9,ug/m3,64-17-5,1900000,ug/m3,REL,,volunteer,1718 Sheridan Ave N,Minneapolis,MN,55411,-10387445.6646,5621142.0194
28,Nov13,0084Nov13,Naphthalene,2.9,ug/m3,91-20-3,9,ug/m3,HRV,,volunteer,1718 Sheridan Ave N,Minneapolis,MN,55411,-10387445.6646,5621142.0194
29,Nov13,0103Nov13,2-Butanone (MEK),4.7,ug/m3,78-93-3,10000,ug/m3,HRV,Marshall Terrace co-located,MPRB,2740 Marshall St NE,Minneapolis,MN,55418,-10383042.6197,5624320.0852
30,Nov13,0103Nov13,2-Propanol,0.84,ug/m3,67-63-0,980000,ug/m3,REL,Marshall Terrace co-located,MPRB,2740 Marshall St NE,Minneapolis,MN,55418,-10383042.6197,5624320.0852
31,Nov13,0103Nov13,Acetone,6.5,ug/m3,67-64-1,590000,ug/m3,REL,Marshall Terrace co-located,MPRB,2740 Marshall St NE,Minneapolis,MN,55418,-10383042.6197,5624320.0852
32,Nov13,0103Nov13,Benzene,0.93,ug/m3,71-43-2,1.3,ug/m3,HRV,Marshall Terrace co-located,MPRB,2740 Marshall St NE,Minneapolis,MN,55418,-10383042.6197,5624320.0852
33,Nov13,0103Nov13,Carbon disulfide,1.9,ug/m3,75-15-0,700,ug/m3,HRV,Marshall Terrace co-located,MPRB,2740 Marshall St NE,Minneapolis,MN,55418,-10383042.6197,5624320.0852
34,Nov13,0103Nov13,Chloromethane,0.58,ug/m3,74-87-3,206544,ug/m3,PEL,Marshall Terrace co-located,MPRB,2740 Marshall St NE,Minneapolis,MN,55418,-10383042.6197,5624320.0852
35,Nov13,0103Nov13,Dichlorodifluoromethane,2.2,ug/m3,75-71-8,4950000,ug/m3,REL,Marshall Terrace co-located,MPRB,2740 Marshall St NE,Minneapolis,MN,55418,-10383042.6197,5624320.0852
36,Nov13,0103Nov13,Ethanol,5.9,ug/m3,64-17-5,1900000,ug/m3,REL,Marshall Terrace co-located,MPRB,2740 Marshall St NE,Minneapolis,MN,55418,-10383042.6197,5624320.0852
37,Nov13,0103Nov13,Methylene Chloride,1.4,ug/m3,75-09-2,20,ug/m3,HRV,Marshall Terrace co-located,MPRB,2740 Marshall St NE,Minneapolis,MN,55418,-10383042.6197,5624320.0852
38,Nov13,0103Nov13,Naphthalene,1.7,ug/m3,91-20-3,9,ug/m3,HRV,Marshall Terrace co-located,MPRB,2740 Marshall St NE,Minneapolis,MN,55418,-10383042.6197,5624320.0852
39,Nov13,0103Nov13,Toluene,2,ug/m3,108-88-3,400,ug/m3,HRV,Marshall Terrace co-located,MPRB,2740 Marshall St NE,Minneapolis,MN,55418,-10383042.6197,5624320.0852
40,Nov13,0149Nov13,Acetone,3,ug/m3,67-64-1,590000,ug/m3,REL,,volunteer,4600 Longfellow Ave S,Minneapolis,MN,55407,-10380107.128,5608850.8674
41,Nov13,0149Nov13,Benzene,1.2,ug/m3,71-43-2,1.3,ug/m3,HRV,,volunteer,4600 Longfellow Ave S,Minneapolis,MN,55407,-10380107.128,5608850.8674
42,Nov13,0149Nov13,Chloromethane,0.99,ug/m3,74-87-3,206544,ug/m3,PEL,,volunteer,4600 Longfellow Ave S,Minneapolis,MN,55407,-10380107.128,5608850.8674
43,Nov13,0149Nov13,Dichlorodifluoromethane,2.8,ug/m3,75-71-8,4950000,ug/m3,REL,,volunteer,4600 Longfellow Ave S,Minneapolis,MN,55407,-10380107.128,5608850.8674
44,Nov13,0149Nov13,Ethanol,6.1,ug/m3,64-17-5,1900000,ug/m3,REL,,volunteer,4600 Longfellow Ave S,Minneapolis,MN,55407,-10380107.128,5608850.8674
45,Nov13,0149Nov13,Methylene Chloride,1.1,ug/m3,75-09-2,20,ug/m3,HRV,,volunteer,4600 Longfellow Ave S,Minneapolis,MN,55407,-10380107.128,5608850.8674
46,Nov13,0149Nov13,n-Hexane,1.1,ug/m3,110-54-3,2000,ug/m3,HRV,,volunteer,4600 Longfellow Ave S,Minneapolis,MN,55407,-10380107.128,5608850.8674
47,Nov13,0149Nov13,Toluene,2.7,ug/m3,108-88-3,400,ug/m3,HRV,,volunteer,4600 Longfellow Ave S,Minneapolis,MN,55407,-10380107.128,5608850.8674
48,Nov13,0149Nov13,Trichlorofluoromethane,1.4,ug/m3,75-69-4,5600000,ug/m3,REL,,volunteer,4600 Longfellow Ave S,Minneapolis,MN,55407,-10380107.128,5608850.8674
49,Nov13,0309Nov13,Acetone,2.5,ug/m3,67-64-1,590000,ug/m3,REL,,volunteer,5743 Xerxes Ave S,Minneapolis,MN,55410,-10388200.4136,5605567.419
50,Nov13,0309Nov13,Benzene,0.82,ug/m3,71-43-2,1.3,ug/m3,HRV,,volunteer,5743 Xerxes Ave S,Minneapolis,MN,55410,-10388200.4136,5605567.419
51,Nov13,0309Nov13,Chloromethane,0.63,ug/m3,74-87-3,206544,ug/m3,PEL,,volunteer,5743 Xerxes Ave S,Minneapolis,MN,55410,-10388200.4136,5605567.419
52,Nov13,0309Nov13,Dichlorodifluoromethane,2,ug/m3,75-71-8,4950000,ug/m3,REL,,volunteer,5743 Xerxes Ave S,Minneapolis,MN,55410,-10388200.4136,5605567.419
53,Nov13,0309Nov13,Ethanol,4.1,ug/m3,64-17-5,1900000,ug/m3,REL,,volunteer,5743 Xerxes Ave S,Minneapolis,MN,55410,-10388200.4136,5605567.419
54,Nov13,0309Nov13,Methylene Chloride,1.1,ug/m3,75-09-2,20,ug/m3,HRV,,volunteer,5743 Xerxes Ave S,Minneapolis,MN,55410,-10388200.4136,5605567.419
55,Nov13,0309Nov13,Toluene,1.8,ug/m3,108-88-3,400,ug/m3,HRV,,volunteer,5743 Xerxes Ave S,Minneapolis,MN,55410,-10388200.4136,5605567.419
56,Nov13,0349Nov13,2-Butanone (MEK),1.5,ug/m3,78-93-3,10000,ug/m3,HRV,,volunteer,1177 14th Ave SE,Minneapolis,MN,55414,-10378549.7846,5620442.9479
57,Nov13,0349Nov13,Acetone,5.2,ug/m3,67-64-1,590000,ug/m3,REL,,volunteer,1177 14th Ave SE,Minneapolis,MN,55414,-10378549.7846,5620442.9479
58,Nov13,0349Nov13,Benzene,1.1,ug/m3,71-43-2,1.3,ug/m3,HRV,,volunteer,1177 14th Ave SE,Minneapolis,MN,55414,-10378549.7846,5620442.9479
59,Nov13,0349Nov13,Chloromethane,0.85,ug/m3,74-87-3,206544,ug/m3,PEL,,volunteer,1177 14th Ave SE,Minneapolis,MN,55414,-10378549.7846,5620442.9479
60,Nov13,0349Nov13,Dichlorodifluoromethane,3.2,ug/m3,75-71-8,4950000,ug/m3,REL,,volunteer,1177 14th Ave SE,Minneapolis,MN,55414,-10378549.7846,5620442.9479
61,Nov13,0349Nov13,Ethanol,11.9,ug/m3,64-17-5,1900000,ug/m3,REL,,volunteer,1177 14th Ave SE,Minneapolis,MN,55414,-10378549.7846,5620442.9479
62,Nov13,0349Nov13,Methylene Chloride,1.4,ug/m3,75-09-2,20,ug/m3,HRV,,volunteer,1177 14th Ave SE,Minneapolis,MN,55414,-10378549.7846,5620442.9479
63,Nov13,0349Nov13,n-Hexane,1.2,ug/m3,110-54-3,2000,ug/m3,HRV,,volunteer,1177 14th Ave SE,Minneapolis,MN,55414,-10378549.7846,5620442.9479
64,Nov13,0349Nov13,Toluene,2.6,ug/m3,108-88-3,400,ug/m3,HRV,,volunteer,1177 14th Ave SE,Minneapolis,MN,55414,-10378549.7846,5620442.9479
65,Nov13,0349Nov13,Trichlorofluoromethane,1.8,ug/m3,75-69-4,5600000,ug/m3,REL,,volunteer,1177 14th Ave SE,Minneapolis,MN,55414,-10378549.7846,5620442.9479
66,Nov13,0446Nov13,2-Butanone (MEK),1.3,ug/m3,78-93-3,10000,ug/m3,HRV,,volunteer,422 5th St SE,Minneapolis,MN,55414,-10380334.4249,5619423.6416
67,Nov13,0446Nov13,Acetone,4.4,ug/m3,67-64-1,590000,ug/m3,REL,,volunteer,422 5th St SE,Minneapolis,MN,55414,-10380334.4249,5619423.6416
68,Nov13,0446Nov13,Benzene,0.96,ug/m3,71-43-2,1.3,ug/m3,HRV,,volunteer,422 5th St SE,Minneapolis,MN,55414,-10380334.4249,5619423.6416
69,Nov13,0446Nov13,Chloromethane,1,ug/m3,74-87-3,206544,ug/m3,PEL,,volunteer,422 5th St SE,Minneapolis,MN,55414,-10380334.4249,5619423.6416
70,Nov13,0446Nov13,Cyclohexane,8.5,ug/m3,110-82-7,1050000,ug/m3,REL,,volunteer,422 5th St SE,Minneapolis,MN,55414,-10380334.4249,5619423.6416
71,Nov13,0446Nov13,Dichlorodifluoromethane,2.9,ug/m3,75-71-8,4950000,ug/m3,REL,,volunteer,422 5th St SE,Minneapolis,MN,55414,-10380334.4249,5619423.6416
72,Nov13,0446Nov13,Ethanol,23.9,ug/m3,64-17-5,1900000,ug/m3,REL,,volunteer,422 5th St SE,Minneapolis,MN,55414,-10380334.4249,5619423.6416
73,Nov13,0446Nov13,Methylene Chloride,4.3,ug/m3,75-09-2,20,ug/m3,HRV,,volunteer,422 5th St SE,Minneapolis,MN,55414,-10380334.4249,5619423.6416
74,Nov13,0446Nov13,n-Heptane,5.3,ug/m3,142-82-5,350000,ug/m3,REL,,volunteer,422 5th St SE,Minneapolis,MN,55414,-10380334.4249,5619423.6416
75,Nov13,0446Nov13,n-Hexane,5.5,ug/m3,110-54-3,2000,ug/m3,HRV,,volunteer,422 5th St SE,Minneapolis,MN,55414,-10380334.4249,5619423.6416
76,Nov13,0446Nov13,Toluene,2.6,ug/m3,108-88-3,400,ug/m3,HRV,,volunteer,422 5th St SE,Minneapolis,MN,55414,-10380334.4249,5619423.6416
77,Nov13,0446Nov13,Trichlorofluoromethane,1.7,ug/m3,75-69-4,5600000,ug/m3,REL,,volunteer,422 5th St SE,Minneapolis,MN,55414,-10380334.4249,5619423.6416
78,Nov13,0490Nov13,Cyclohexane,1.7,ug/m3,110-82-7,1050000,ug/m3,REL,Kohl & Madden Printing Inc Corp SW,business,782 29th Ave SE,Minneapolis,MN,55414,-10376307.3436,5619085.4096
79,Nov13,0490Nov13,Dichlorodifluoromethane,2.5,ug/m3,75-71-8,4950000,ug/m3,REL,Kohl & Madden Printing Inc Corp SW,business,782 29th Ave SE,Minneapolis,MN,55414,-10376307.3436,5619085.4096
80,Nov13,0490Nov13,Ethanol,19.2,ug/m3,64-17-5,1900000,ug/m3,REL,Kohl & Madden Printing Inc Corp SW,business,782 29th Ave SE,Minneapolis,MN,55414,-10376307.3436,5619085.4096
81,Nov13,0490Nov13,Trichloroethene,1.4,ug/m3,79-01-6,3,ug/m3,HRV,Kohl & Madden Printing Inc Corp SW,business,782 29th Ave SE,Minneapolis,MN,55414,-10376307.3436,5619085.4096
82,Nov13,0504Nov13,2-Propanol,3,ug/m3,67-63-0,980000,ug/m3,REL,MPCA - 962,MPCA,1445 18th St E,Minneapolis,MN,55404,-10381080.1265,5616033.6087
83,Nov13,0504Nov13,Acetone,4.2,ug/m3,67-64-1,590000,ug/m3,REL,MPCA - 962,MPCA,1445 18th St E,Minneapolis,MN,55404,-10381080.1265,5616033.6087
84,Nov13,0504Nov13,Benzene,0.8,ug/m3,71-43-2,1.3,ug/m3,HRV,MPCA - 962,MPCA,1445 18th St E,Minneapolis,MN,55404,-10381080.1265,5616033.6087
85,Nov13,0504Nov13,Chloromethane,0.85,ug/m3,74-87-3,206544,ug/m3,PEL,MPCA - 962,MPCA,1445 18th St E,Minneapolis,MN,55404,-10381080.1265,5616033.6087
86,Nov13,0504Nov13,Dichlorodifluoromethane,2.4,ug/m3,75-71-8,4950000,ug/m3,REL,MPCA - 962,MPCA,1445 18th St E,Minneapolis,MN,55404,-10381080.1265,5616033.6087
87,Nov13,0504Nov13,Ethanol,6.4,ug/m3,64-17-5,1900000,ug/m3,REL,MPCA - 962,MPCA,1445 18th St E,Minneapolis,MN,55404,-10381080.1265,5616033.6087
88,Nov13,0504Nov13,Methylene Chloride,0.97,ug/m3,75-09-2,20,ug/m3,HRV,MPCA - 962,MPCA,1445 18th St E,Minneapolis,MN,55404,-10381080.1265,5616033.6087
89,Nov13,0504Nov13,Toluene,2.1,ug/m3,108-88-3,400,ug/m3,HRV,MPCA - 962,MPCA,1445 18th St E,Minneapolis,MN,55404,-10381080.1265,5616033.6087
90,Nov13,0592Nov13,2-Butanone (MEK),0.84,ug/m3,78-93-3,10000,ug/m3,HRV,Pinta Foamtec NE Corner,business,2601 49th Ave N,Minneapolis,MN,55430,-10387803.9266,5628437.2522
91,Nov13,0592Nov13,4-Methyl-2-pentanone (MIBK),38.3,ug/m3,108-10-1,205000,ug/m3,REL,Pinta Foamtec NE Corner,business,2601 49th Ave N,Minneapolis,MN,55430,-10387803.9266,5628437.2522
92,Nov13,0592Nov13,Acetone,55.5,ug/m3,67-64-1,590000,ug/m3,REL,Pinta Foamtec NE Corner,business,2601 49th Ave N,Minneapolis,MN,55430,-10387803.9266,5628437.2522
93,Nov13,0592Nov13,Benzene,0.6,ug/m3,71-43-2,1.3,ug/m3,HRV,Pinta Foamtec NE Corner,business,2601 49th Ave N,Minneapolis,MN,55430,-10387803.9266,5628437.2522
94,Nov13,0592Nov13,Chloromethane,0.62,ug/m3,74-87-3,206544,ug/m3,PEL,Pinta Foamtec NE Corner,business,2601 49th Ave N,Minneapolis,MN,55430,-10387803.9266,5628437.2522
95,Nov13,0592Nov13,Dichlorodifluoromethane,2,ug/m3,75-71-8,4950000,ug/m3,REL,Pinta Foamtec NE Corner,business,2601 49th Ave N,Minneapolis,MN,55430,-10387803.9266,5628437.2522
